Query;customer_id;company_name;contact_name;country
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');LAUGB;Laughing Bacchus Wine Cellars;Yoshi Tannamuri;Canada
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');LAZYK;Lazy K Kountry Store;John Steel;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');LETSS;Let's Stop N Shop;Jaime Yorres;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');LILAS;LILA-Supermercado;Carlos González;Venezuela
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');LINOD;LINO-Delicateses;Felipe Izquierdo;Venezuela
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');LONEP;Lonesome Pine Restaurant;Fran Wilson;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');MAGAA;Magazzini Alimentari Riuniti;Giovanni Rovelli;Italy
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');MAISD;Maison Dewey;Catherine Dewey;Belgium
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');MEREP;Mère Paillarde;Jean Fresnière;Canada
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');OCEAN;Océano Atlántico Ltda.;Yvonne Moncada;Argentina
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');OLDWO;Old World Delicatessen;Rene Phillips;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');PARIS;Paris spécialités;Marie Bertrand;France
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');PERIC;Pericles Comidas clásicas;Guillermo Fernández;Mexico
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');PICCO;Piccolo und mehr;Georg Pipps;Austria
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');PRINI;Princesa Isabel Vinhos;Isabel de Castro;Portugal
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');QUEDE;Que Delícia;Bernardo Batista;Brazil
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');QUEEN;Queen Cozinha;Lúcia Carvalho;Brazil
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');RANCH;Rancho grande;Sergio Gutiérrez;Argentina
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');RATTC;Rattlesnake Canyon Grocery;Paula Wilson;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');REGGC;Reggiani Caseifici;Maurizio Moroni;Italy
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');RICAR;Ricardo Adocicados;Janete Limeira;Brazil
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');RICSU;Richter Supermarkt;Michael Holz;Switzerland
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');ROMEY;Romero y tomillo;Alejandra Camino;Spain
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');SANTG;Santé Gourmet;Jonas Bergulfsen;Norway
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');SAVEA;Save-a-lot Markets;Jose Pavarotti;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');SIMOB;Simons bistro;Jytte Petersen;Denmark
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');SPECD;Spécialités du monde;Dominique Perrier;France
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');SPLIR;Split Rail Beer & Ale;Art Braunschweiger;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');SUPRD;Suprêmes délices;Pascale Cartrain;Belgium
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');THEBI;The Big Cheese;Liz Nixon;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');THECR;The Cracker Box;Liu Wong;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');TORTU;Tortuga Restaurante;Miguel Angel Paolino;Mexico
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');TRADH;Tradição Hipermercados;Anabela Domingues;Brazil
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');TRAIH;Trail's Head Gourmet Provisioners;Helvetius Nagy;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');VAFFE;Vaffeljernet;Palle Ibsen;Denmark
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');VICTE;Victuailles en stock;Mary Saveley;France
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');VINET;Vins et alcools Chevalier;Paul Henriot;France
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');WARTH;Wartian Herkku;Pirkko Koskitalo;Finland
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');WELLI;Wellington Importadora;Paula Parente;Brazil
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');WHITC;White Clover Markets;Karl Jablonski;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');WILMK;Wilman Kala;Matti Karttunen;Finland
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');WOLZA;Wolski  Zajazd;Zbyszek Piestrzeniewicz;Poland
